properties_id,keyset,Console
42230,93,"1/28AC - Acacia Drv, 28, 1"
5263,272,"10ACAC - Acacia Dr, 10"
48283,17,"2/28ACAC - Acacia Drv, 28, 2"
9222,47,"230DACAC - Acacia Dr, 230D"
24626,216,"30ACC - Accession St, 30"
31431,225,"48ALDE - Alderley Ave, 48"
29439,478,"15ALDR - Aldridge St, 15"
19150,463,"5ALLAM - Allambic Street, 5"
15876,346,"28AND - Anderson Ave, 28"
15868,53,"7ANDER - Anderson Ave, 7"
19302,502,"14ARKIN - Arkin St, 14"
36979,185,"1/41ASC  - Ascog Tce, 41, 1"
434,582,"48ASHB - Ashbourne St, 48"
15744,140,"1/43ASHG - Ashgrove Ave, 43, 1"
15910,130,"1/7ASHG - Ashgrove Ave, 7, 1"
15978,232,"12/43ASH - Ashgrove Ave, 43, 12"
16041,456,"151ASHG - Ashgrove Ave, 151"
6203,505,"48ATTHO - Atthow Ave, 48"
40239,165,"43AYLES - Aylesford St, 43"
4206,211,"80BAIL - Baileys Rd, 80"
34006,148,"2/14BALM - Balmain Tce, 14, 2"
41083,515,"40BAL - Balvenie St, 40"
31389,539,"52BALV - Balvenie St, 52"
40938,139,"1BANK - Bankhead Cresent, 1"
15729,433,"248BAN2 - Banks St, 248"
12324,143,"306BANK - Banks St, 306"
19347,292,"2BARK - Barkala Street, 2"
19363,503,"22BARKA - Barkala Street, 22"
4086,516,"7BASS - Bass St, 7"
49450,86,"2/139BEA - Beatrice Tce, 139, 2"
9760,328,"12BEAU - Beaufort St, 12"
43950,578,"2/21BEAU - Beaufort St, 21, 2"
51411,447,"1/124BEC - Beck St, 124, 1"
19496,96,"77BELC - Belclare St, 77"
19507,564,"89BELC - Belclare St, 89"
41103,157,"3/10BEL - Belgrave St, 10, 3"
52725,227,"36BELG - Belgrave St, 36"
5176,628,"43BENN - Bennett Rd, 43"
19708,248,"23BERNA - Bernarra St, 23"
40575,36,"29BE - Berry St, 29"
25940,575,"48BESS - Bess St, 48"
21293,375,"28BETH - Betheden Tce, 28"
40162,371,"38BETH - Betheden Tce, 38"
43358,24,"45BETHE - Betheden Tce, 45"
2234,149,"195BIRD - Birdwood Tce, 195"
9115,489,"28BIRK - Birkridge Pl, 28"
52655,633,"8/31BISH - Bishop St, 31, 8"
12821,494,"7BLACK - Blackbutt St, 7"
31388,507,"7aBLACK - Blackbutt St, 7a"
41144,184,"1/50BLAC - Blackstone Street, 50, 1"
41145,192,"2/50BLAC - Blackstone Street, 50, 2"
42540,223,"101/60BL - Blamey Street, 60, 101"
1153,105,"1/13BLA - Blaxland St, 13, 1"
1157,171,"2/13BLA - Blaxland St, 13, 2"
19794,497,"14BLUCH - Blucher Avenue, 14"
26991,153,"1/14BOTT - Bott St, 14, 1"
9368,168,"1/28BOTT - Bott St, 28, 1"
955,62,"11/40BOT - Bott St, 40, 11"
16236,170,"2/14aBOT - Bott St, 2/14a"
7614,12,"2/22BOTT - Bott St, 22, 2"
16232,190,"3/14BOTT - Bott Street, 14, 3"
41149,136,"6/18BO - Bott Street, 18, 6"
16297,207,"6/36BOTT - Bott St, 36, 6"
16260,178,"7/22BOTT - Bott St, 22, 7"
16247,350,"9/18BO - Bott St, 18, 9"
16309,87,"9/40BO - Bott St, 40, 9"
4191,162,"4BOUNDA - Boundary Road, 4"
31063,300,"9/7BOWE - Bowen St, 7, 9"
984,97,"6/47BR - Bramston Terrace, 47, 6"
8972,129,"14ABRIDG - Bridge St, 14A"
44975,217,"14dBRIDG - Bridge St, 14d"
43425,562,"11aBRIN - Brindabella St, 11a"
16355,203,"14BROAD - Broadbent St, 14"
29769,247,"33BROMA - Bromar St, 33"
19934,609,"15BROM - Bromwich St, 15"
5165,512,"17BROMW - Bromwich St, 17"
12573,429,"27BROWN - Browns Dip Rd, 27"
9000,301,"49BUC - Buckingham St, 49"
29471,449,"75BUCK - Buckingham St, 75"
20056,542,"16BUSH - Bushwick Street, 16"
1272,102,"1/47C  - Cairns St, 47, 1"
40988,151,"2/47C  - Cairns St, 47, 2"
34122,552,"24CAMBR - Cambridge St, 24"
43951,583,"4501/141 - Campbell St, 141, 4501"
1829,186,"24CANB - Canberra Drv, 24"
9952,466,"34CANB - Canberra Drv, 34"
9327,581,"1/29CAR - Carmel St, 29, 1"
40716,296,"2/29CARM - Carmel St, 29, 2"
13400,128,"56CARM - Carmel St, 56"
390,161,"67CARM - Carmel Street, 67"
13406,245,"72CARM - Carmel St, 72"
2278,322,"53CASH - Cash Ave, 53"
16499,423,"12CAVE - Cavell Tce, 12"
2240,124,"14CAVE - Cavell Tce, 14"
40773,475,"2101/123 - Cavendish Rd, 123, 2101"
20114,450,"10CEDAR - Cedar Place, 10"
20126,405,"3CEDAR2 - Cedarhurst Street, 3"
6245,606,"32CELI - Celia St, 32"
29013,71,"4/60CELI - Celia St, 60, 4"
49635,75,"16CHAI - Chailey St, 16"
47982,526,"6/9CHES - Chester St, 9, 6"
20194,602,"4CHEST - Chestnut Plc, 4"
12733,125,"7/35CLYD - Clyde Rd, 35, 7"
24561,66,"8/35CLYD - Clyde Rd, 35, 8"
42673,493,"2CONF - Confederate St, 2"
34208,174,"4CONF - Confederate St, 4"
34210,88,"7CONF - Confederate St, 7"
12807,257,"22COOP - Coopers Camp Rd, 22"
1293,276,"222COOP - Coopers Camp Rd, 222"
52846,7,"9COPP - Copper Cres, 9"
16569,16,"23CORON - Corona Ave, 23"
41081,63,"1/56CO - Coronation St, 56, 1"
40978,145,"2/56CO - Coronation St, 56, 2"
41082,146,"3/56CO - Coronation St, 56, 3"
40989,250,"4/56CO - Coronation St, 56, 4"
20370,506,"19CRAIG - Craigmore Street, 19"
16599,262,"9CREEK - Creek Ave, 9"
12833,277,"15CRESC - Crescent Ave, 15"
30257,2,"23CROMW - Cromwell St, 23"
4193,33,"43CROW - Crown St, 43"
20378,543,"8CURRA - Currawang Street, 8"
20423,345,"12DAJA - Dajarra St, 12"
21334,230,"1/34DALM - Dalmore St, 34, 1"
15780,94,"1/38DAL2 - Dalmore St, 38, 1"
21341,80,"10/34DAL - Dalmore St, 34, 10"
12276,13,"2/26DALM - Dalmore St, 26, 2"
21346,156,"2/46DALM - Dalmore St, 46, 2"
21203,488,"6/38DAL3 - Dalmore St, 38, 6"
4933,206,"7/46DAL - Dalmore St, 46, 7"
5299,173,"8/55DAL - Dalmore St, 55, 8"
21351,220,"9/46DALM - Dalmore St, 46, 9"
20445,336,"19DAND - Dandaloo Street, 19"
16617,327,"22DAVI - Davies Rd, 22"
16620,598,"26aDAV - Davies Rd, 26a"
41148,368,"12DELM - Delmara Cls, 12"
20520,462,"17DESB - Desbet Street, 17"
20524,311,"21DESB - Desbet Street, 21"
42111,175,"23bDEVO - Devonhill St, 23b"
7551,331,"1/22DEVO - Devoy St, 22, 1"
50750,551,"27DEVO - Devoy St, 27"
24998,520,"3/22DEVO - Devoy St, 22, 3"
897,314,"3/43DEV - Devoy St, 43, 3"
2527,299,"34DEVOY - Devoy St, 34"
24995,587,"5/16DEV - Devoy St, 16, 5"
782,499,"6/45DEV - Devoy Street, 45, 6"
26588,269,"9/41DEVO - Devoy St, 39, 9"
20585,445,"3DONC - Doncella St, 3"
28440,61,"1/31DOR - Dorset St, 31, 1"
29857,91,"1/35DORS - Dorset St, 35, 1"
40973,15,"1/45DORS - Dorset St, 45, 1"
40955,197,"10/35DOR - Dorset St, 35, 10"
40942,34,"11/35DOR - Dorset St, 35, 11"
31474,110,"12/35DOR - Dorset St, 35, 12"
24673,134,"13/35DOR - Dorset St, 35, 13"
40968,92,"14/35DOR - Dorset St, 35, 14"
30566,49,"15/35DOR - Dorset St, 35, 15"
12823,200,"16/35DOR - Dorset St, 35, 16"
29312,81,"19/35DOR - Dorset St, 35, 19"
40564,104,"2/35DORS - Dorset St, 35, 2"
40969,5,"2/45DORS - Dorset St, 45, 2"
31561,109,"3/35DOR - Dorset St, 35, 3"
40935,32,"3/45DORS - Dorset St, 45, 3"
5266,55,"37DORSET - Dorset St, 37"
24656,195,"4/17DOR - Dorset St, 17, 4"
33592,119,"4/35DORS - Dorset St, 35, 4"
41684,194,"5/35DORS - Dorset St, 35, 5"
40884,117,"6/35DORS - Dorset St, 35, 6"
40971,141,"7/35DORS - Dorset St, 35, 7"
12287,135,"8/35DOR - Dorset St, 35, 8"
30565,158,"9/35DORS - Dorset St, 35, 9"
20682,530,"12DULZUR - Dulzura Street, 12"
29443,303,"19DULZ - Dulzura St, 19"
20702,298,"20DUNG - Dungory st, 20"
31470,469,"5/63DUN - Dunmore Tce, 63, 5"
37995,571,"30EDG - Edgar St, 30"
20727,428,"3EDINA - Edina St, 3"
16756,617,"25ELIM - Elimatta Dr, 25"
52879,251,"1/48ELIZ - Elizabeth St, 48, 1"
40908,425,"5/115E - Elizabeth St, 115, 5"
